id,first_name,last_name,username,password,role_ID
138,STEVE,FRYE,SFRYE1,SFRYE1,5
139,CRYSTAL,JACKSON,CJACKS1,CJACKS1,5
140,JON,TODD,JTODD1,JTODD1,5
141,LLOYD,GLASS,LGLASS1,LGLASS1,5
142,FRANCISCO,HARMON,FHARMO1,FHARMO1,5
143,TERRENCE,SANDOVAL,TSANDO1,TSANDO1,5
144,SALLY,LYNN,SLYNN1,SLYNN1,5
145,SARAH,KELLY,SKELLY1,SKELLY1,5
146,CHRISTOPHER,ELLIS,CELLIS1,CELLIS1,5
147,MILDRED,PITTMAN,MPITTM1,MPITTM1,5
148,STANLEY,RODRIGUEZ,SRODRI1,SRODRI1,5
149,MARK,MARTINEZ,MMARTI1,MMARTI1,5
150,DEBORAH,PEREZ,DPEREZ2,DPEREZ2,5
151,TRAVIS,BRIDGES,TBRIDG1,TBRIDG1,5
152,DARLENE,THOMPSON,DTHOMP1,DTHOMP1,5
153,CLARA,SMITH,CSMITH1,CSMITH1,5
154,JANICE,WRIGHT,JWRIGH1,JWRIGH1,5
155,ARLENE,HILL,AHILL1,AHILL1,5
156,MICHAEL,WATERS,MWATER1,MWATER1,5
157,DOROTHY,RICHARDSON,DRICHA1,DRICHA1,5
158,BARRY,OLSEN,BOLSEN1,BOLSEN1,5
159,ELIZABETH,COLLINS,ECOLLI1,ECOLLI1,5
160,PATSY,LEWIS,PLEWIS1,PLEWIS1,5
161,SANDRA,SMITH,SSMITH1,SSMITH1,5
162,ROBERT,HURST,RHURST1,RHURST1,5
163,SARAH,SHARP,SSHARP1,SSHARP1,5
164,VIOLA,HUGHES,VHUGHE1,VHUGHE1,5
165,MARIA,ROBINSON,MROBIN2,MROBIN2,5
166,MICHELE,STEIN,MSTEIN1,MSTEIN1,5
167,DORIS,DICKSON,DDICKS1,DDICKS1,5
168,KAY,VALDEZ,KVALDE1,KVALDE1,5
169,JOSE,WINTERS,JWINTE1,JWINTE1,5
170,ESTHER,MOSS,EMOSS1,EMOSS1,5
171,JAY,PHILLIPS,JPHILL1,JPHILL1,5
172,ROLAND,ADAMS,RADAMS1,RADAMS1,5
173,THERESA,FROST,TFROST1,TFROST1,5
174,KENNETH,SMITH,KSMITH1,KSMITH1,5
175,SUSAN,WILLIAMS,SWILLI1,SWILLI1,5
176,JEREMY,SANDOVAL,JSANDO1,JSANDO1,5
177,KEVIN,RODRIGUEZ,KRODRI1,KRODRI1,5
178,KATHERINE,THOMAS,KTHOMA1,KTHOMA1,5
179,CAROL,CAMACHO,CCAMAC1,CCAMAC1,5
180,JUDITH,THOMPSON,JTHOMP1,JTHOMP1,5
181,CHRISTOPHER,STANLEY,CSTANL1,CSTANL1,5
182,GERTRUDE,RIVERA,GRIVER1,GRIVER1,5
183,GARY,JOHNSON,GJOHNS1,GJOHNS1,5
184,MICHELLE,HARVEY,MHARVE1,MHARVE1,5
185,MARY,LANE,MLANE1,MLANE1,5
186,LAURIE,ANDERSON,LANDER1,LANDER1,5
187,RAYMOND,WILLIAMS,RWILLI2,RWILLI2,5
188,MONICA,GILL,MGILL1,MGILL1,5
189,LORETTA,OWEN,LOWEN1,LOWEN1,5
190,ELLEN,MORGAN,EMORGA1,EMORGA1,5
191,DOUGLAS,JACKSON,DJACKS1,DJACKS1,5
192,CHARLES,WILSON,CWILSO1,CWILSO1,5
193,NICOLE,JONES,NJONES1,NJONES1,5
194,FRANCIS,MILLER,FMILLE1,FMILLE1,5
195,BILL,HARRIS,BHARRI1,BHARRI1,5
196,ROSS,ROBINSON,RROBIN1,RROBIN1,5
197,LOIS,OLIVER,LOLIVE1,LOLIVE1,5
198,ARTHUR,GONZALEZ,AGONZA1,AGONZA1,5
199,ANNA,KINNEY,AKINNE1,AKINNE1,5
200,DELORES,CLARKE,DCLARK1,DCLARK1,5
201,CHRISTOPHER,JACKSON,CJACKS2,CJACKS2,1
202,JULIE,ANDREWS,JANDRE1,JANDRE1,1
203,LLOYD,FREDERICK,LFREDE1,LFREDE1,1
204,JAMES,BUTLER,JBUTLE1,JBUTLE1,1
205,JULIE,REYES,JREYES1,JREYES1,1
206,BRENDA,COLLIER,BCOLLI1,BCOLLI1,1
207,LISA,PITTMAN,LPITTM1,LPITTM1,1
208,JEREMY,BOOKER,JBOOKE1,JBOOKE1,1
209,ANN,PALMER,APALME1,APALME1,1
210,JESSICA,BERNARD,JBERNA1,JBERNA1,1
211,TIMOTHY,BISHOP,TBISHO1,TBISHO1,1
212,MARTHA,DAVIS,MDAVIS1,MDAVIS1,1
213,CHERYL,MARTIN,CMARTI1,CMARTI1,1
214,CHARLES,ANDERSON,CANDER1,CANDER1,1
215,RANDY,JAMES,RJAMES1,RJAMES1,3
216,MELINDA,ANDERSON,MANDER1,MANDER1,3
217,JOHN,ATKINSON,JATKIN1,JATKIN1,1
218,JOSEPHINE,LEE,JLEE1,JLEE1,1
219,ALEX,GRIFFIN,AGRIFF1,AGRIFF1,1
220,LEONARD,MASON,LMASON1,LMASON1,1
221,JOHNNY,GONZALES,JGONZA1,JGONZA1,1
222,STEVEN,REYNOLDS,SREYNO1,SREYNO1,3
223,KIMBERLY,BENNETT,KBENNE1,KBENNE1,1
224,RAY,JOHNSON,RJOHNS1,RJOHNS1,3
225,BETH,JONES,BJONES1,BJONES1,1
226,ROBERT,BERG,RBERG1,RBERG1,1
227,ANN,MASON,AMASON1,AMASON1,1
228,DAISY,GEORGE,DGEORG1,DGEORG1,1
229,ARTHUR,TRAVIS,ATRAVI1,ATRAVI1,1
230,BETH,CRAWFORD,BCRAWF1,BCRAWF1,1
231,MARY,MAXWELL,MMAXWE1,MMAXWE1,3
232,DENISE,WALKER,DWALKE1,DWALKE1,3
233,JOSHUA,JOHNSON,JJOHNS1,JJOHNS1,3
234,DOROTHY,CAMERON,DCAMER1,DCAMER1,1
235,STEPHEN,WHITE,SWHITE1,SWHITE1,1
236,WILLIAM,SHAFFER,WSHAFF1,WSHAFF1,1
237,MICHAEL,TURNER,MTURNE1,MTURNE1,1
238,JOHN,WILSON,JWILSO1,JWILSO1,1
239,KENNETH,NICHOLSON,KNICHO1,KNICHO1,1
240,SARA,POOLE,SPOOLE1,SPOOLE1,1
241,CS,Admin,Admin,Admin,2
