user_ID,first_name,last_name,courseTaken,courseTaken,courseTaken
136,JIMMY,JACOBS,4,3,9
137,HERBERT,HAMILTON,1,4,6
138,STEVE,FRYE,6,9,6
139,CRYSTAL,JACKSON,,,
140,JON,TODD,3,6,
141,LLOYD,GLASS,2,5,6
142,FRANCISCO,HARMON,3,6,
143,TERRENCE,SANDOVAL,3,6,10
144,SALLY,LYNN,3,6,9
145,SARAH,KELLY,7,10,5
146,CHRISTOPHER,ELLIS,3,6,4
147,MILDRED,PITTMAN,2,5,6
148,STANLEY,RODRIGUEZ,12,,
149,MARK,MARTINEZ,3,,
150,DEBORAH,PEREZ,3,10,7
151,TRAVIS,BRIDGES,3,6,5
152,DARLENE,THOMPSON,4,3,5
153,CLARA,SMITH,2,5,10
154,JANICE,WRIGHT,,,
155,ARLENE,HILL,3,10,6
156,MICHAEL,WATERS,3,,
157,DOROTHY,RICHARDSON,3,6,5
158,BARRY,OLSEN,,,
159,ELIZABETH,COLLINS,,,
160,PATSY,LEWIS,,,
161,SANDRA,SMITH,,,
162,ROBERT,HURST,,,
163,SARAH,SHARP,,,
164,VIOLA,HUGHES,,,
165,MARIA,ROBINSON,,,
166,MICHELE,STEIN,6,9,8
167,DORIS,DICKSON,5,8,3
168,KAY,VALDEZ,5,8,6
169,JOSE,WINTERS,4,3,
170,ESTHER,MOSS,3,6,
171,JAY,PHILLIPS,4,3,
172,ROLAND,ADAMS,5,8,
173,THERESA,FROST,3,6,5
174,KENNETH,SMITH,2,5,10
175,SUSAN,WILLIAMS,,,
176,JEREMY,SANDOVAL,3,10,
177,KEVIN,RODRIGUEZ,3,6,5
178,KATHERINE,THOMAS,3,10,5
179,CAROL,CAMACHO,2,5,10
180,JUDITH,THOMPSON,2,5,3
181,CHRISTOPHER,STANLEY,3,10,7
182,GERTRUDE,RIVERA,4,3,5
183,GARY,JOHNSON,,,
184,MICHELLE,HARVEY,2,5,3
185,MARY,LANE,3,6,5
186,LAURIE,ANDERSON,4,3,10
187,RAYMOND,WILLIAMS,2,5,8
188,MONICA,GILL,3,10,5
189,LORETTA,OWEN,5,8,5
190,ELLEN,MORGAN,2,5,5
191,DOUGLAS,JACKSON,2,5,10
192,CHARLES,WILSON,2,5,3
193,NICOLE,JONES,,,
194,FRANCIS,MILLER,4,3,6
195,BILL,HARRIS,4,3,10
196,ROSS,ROBINSON,3,6,5
197,LOIS,OLIVER,4,3,
198,ARTHUR,GONZALEZ,3,6,
199,ANNA,KINNEY,4,3,5
200,DELORES,CLARKE,5,8,3
