user_ID,first_name,last_name,username,dept_ID,role_ID
80,WANDA,WEEKS,WWEEKS1,30,5
81,KATIE,BERGER,KBERGE1,29,5
82,WALLACE,REID,WREID1,30,5
83,CATHERINE,FLEMING,CFLEMI1,30,5
84,IAN,WILCOX,IWILCO1,26,5
85,CHRIS,ROGERS,CROGER1,30,5
86,JESUS,HUDSON,JHUDSO1,29,5
87,HARVEY,MILLER,HMILLE1,30,5
88,MICHAEL,TYSON,MTYSON1,21,5
89,LAURA,HUNT,LHUNT1,21,5
90,GERALD,ANDERSON,GANDER1,30,5
91,ROBERT,RUSH,RRUSH1,30,5
92,EDNA,SMITH,ESMITH1,30,5
93,BENJAMIN,SCOTT,BSCOTT1,30,5
94,CONSTANCE,HICKS,CHICKS1,25,5
95,REBECCA,DAVIS,RDAVIS2,27,5
96,TODD,CHAPMAN,TCHAPM1,30,5
97,BRETT,MORAN,BMORAN1,28,5
98,GAIL,CAMPBELL,GCAMPB1,13,5
99,JENNIFER,SIMMONS,JSIMMO1,27,5
100,RALPH,HARMON,RHARMO1,30,5
101,PATRICK,WASHINGTON,PWASHI1,30,5
102,JEFF,CUMMINGS,JCUMMI1,30,5
103,KELLY,ANDERSON,KANDER1,30,5
104,ARTHUR,MORSE,AMORSE1,30,5
105,RAUL,PEARSON,RPEARS1,19,5
106,HEATHER,JONES,HJONES2,30,5
107,MARGARET,JONES,MJONES1,27,5
108,KEVIN,BOYD,KBOYD1,23,5
109,ANNE,SMITH,ASMITH1,30,5
110,FERNANDO,GARDNER,FGARDN1,9,5
111,DOROTHY,PEREZ,DPEREZ1,1,5
112,RUTH,GILBERT,RGILBE1,19,5
113,MARY,KNIGHT,MKNIGH1,14,5
114,BRANDON,ROSS,BROSS1,30,5
115,PEGGY,WARD,PWARD1,28,5
116,JONATHAN,VASQUEZ,JVASQU1,23,5
117,ROBERT,WILSON,RWILSO1,30,5
118,DIANA,GOMEZ,DGOMEZ1,30,5
119,MAURICE,JIMENEZ,MJIMEN1,30,5
120,KEVIN,SHERMAN,KSHERM1,20,5
121,EDWARD,JAMES,EJAMES1,28,5
122,RANDY,ODOM,RODOM1,27,5
123,JUAN,BROWN,JBROWN1,30,5
124,WILLIAM,MAYS,WMAYS1,5,5
125,DIANA,BROWN,DBROWN1,29,5
126,HEATHER,HUGHES,HHUGHE1,27,5
127,AMANDA,WILLIAMS,AWILLI1,24,5
128,LISA,DALE,LDALE1,24,5
129,JENNIFER,GRAVES,JGRAVE1,30,5
130,FERNANDO,TURNER,FTURNE1,20,5
131,JERRY,GILL,JGILL1,30,5
132,PATRICIA,GREEN,PGREEN1,30,5
133,IAN,ERICKSON,IERICK1,30,5
134,MARY,COLLINS,MCOLLI1,30,5
135,GEORGE,MILLER,GMILLE1,23,5
136,JIMMY,JACOBS,JJACOB1,21,5
137,HERBERT,HAMILTON,HHAMIL1,22,5
138,STEVE,FRYE,SFRYE1,29,5
139,CRYSTAL,JACKSON,CJACKS1,30,5
140,JON,TODD,JTODD1,27,5
141,LLOYD,GLASS,LGLASS1,17,5
142,FRANCISCO,HARMON,FHARMO1,12,5
143,TERRENCE,SANDOVAL,TSANDO1,30,5
144,SALLY,LYNN,SLYNN1,30,5
145,SARAH,KELLY,SKELLY1,30,5
146,CHRISTOPHER,ELLIS,CELLIS1,30,5
147,MILDRED,PITTMAN,MPITTM1,28,5
148,STANLEY,RODRIGUEZ,SRODRI1,30,5
149,MARK,MARTINEZ,MMARTI1,13,5
150,DEBORAH,PEREZ,DPEREZ2,28,5
151,TRAVIS,BRIDGES,TBRIDG1,28,5
152,DARLENE,THOMPSON,DTHOMP1,29,5
153,CLARA,SMITH,CSMITH1,23,5
154,JANICE,WRIGHT,JWRIGH1,20,5
155,ARLENE,HILL,AHILL1,30,5
156,MICHAEL,WATERS,MWATER1,4,5
157,DOROTHY,RICHARDSON,DRICHA1,30,5
158,BARRY,OLSEN,BOLSEN1,23,5
159,ELIZABETH,COLLINS,ECOLLI1,30,5
160,PATSY,LEWIS,PLEWIS1,3,5
161,SANDRA,SMITH,SSMITH1,4,5
162,ROBERT,HURST,RHURST1,27,5
163,SARAH,SHARP,SSHARP1,30,5
164,VIOLA,HUGHES,VHUGHE1,30,5
165,MARIA,ROBINSON,MROBIN2,28,5
166,MICHELE,STEIN,MSTEIN1,15,5
167,DORIS,DICKSON,DDICKS1,26,5
168,KAY,VALDEZ,KVALDE1,29,5
169,JOSE,WINTERS,JWINTE1,19,5
170,ESTHER,MOSS,EMOSS1,29,5
171,JAY,PHILLIPS,JPHILL1,10,5
172,ROLAND,ADAMS,RADAMS1,30,5
173,THERESA,FROST,TFROST1,27,5
174,KENNETH,SMITH,KSMITH1,20,5
175,SUSAN,WILLIAMS,SWILLI1,29,5
176,JEREMY,SANDOVAL,JSANDO1,21,5
177,KEVIN,RODRIGUEZ,KRODRI1,27,5
178,KATHERINE,THOMAS,KTHOMA1,30,5
179,CAROL,CAMACHO,CCAMAC1,30,5
180,JUDITH,THOMPSON,JTHOMP1,26,5
181,CHRISTOPHER,STANLEY,CSTANL1,24,5
182,GERTRUDE,RIVERA,GRIVER1,26,5
183,GARY,JOHNSON,GJOHNS1,28,5
184,MICHELLE,HARVEY,MHARVE1,7,5
185,MARY,LANE,MLANE1,30,5
186,LAURIE,ANDERSON,LANDER1,21,5
187,RAYMOND,WILLIAMS,RWILLI2,19,5
188,MONICA,GILL,MGILL1,30,5
189,LORETTA,OWEN,LOWEN1,30,5
190,ELLEN,MORGAN,EMORGA1,28,5
191,DOUGLAS,JACKSON,DJACKS1,29,5
192,CHARLES,WILSON,CWILSO1,30,5
193,NICOLE,JONES,NJONES1,28,5
194,FRANCIS,MILLER,FMILLE1,26,5
195,BILL,HARRIS,BHARRI1,16,5
196,ROSS,ROBINSON,RROBIN1,30,5
197,LOIS,OLIVER,LOLIVE1,30,5
198,ARTHUR,GONZALEZ,AGONZA1,30,5
199,ANNA,KINNEY,AKINNE1,28,5
200,DELORES,CLARKE,DCLARK1,20,5
201,CHRISTOPHER,JACKSON,CJACKS2,29,1
202,JULIE,ANDREWS,JANDRE1,30,1
203,LLOYD,FREDERICK,LFREDE1,30,1
204,JAMES,BUTLER,JBUTLE1,26,1
205,JULIE,REYES,JREYES1,29,1
206,BRENDA,COLLIER,BCOLLI1,9,1
207,LISA,PITTMAN,LPITTM1,2,1
208,JEREMY,BOOKER,JBOOKE1,27,1
209,ANN,PALMER,APALME1,30,1
210,JESSICA,BERNARD,JBERNA1,30,1
211,TIMOTHY,BISHOP,TBISHO1,10,1
212,MARTHA,DAVIS,MDAVIS1,15,1
213,CHERYL,MARTIN,CMARTI1,21,1
214,CHARLES,ANDERSON,CANDER1,17,1
215,RANDY,JAMES,RJAMES1,27,3
216,MELINDA,ANDERSON,MANDER1,28,3
217,JOHN,ATKINSON,JATKIN1,28,1
218,JOSEPHINE,LEE,JLEE1,27,1
219,ALEX,GRIFFIN,AGRIFF1,30,1
220,LEONARD,MASON,LMASON1,23,1
221,JOHNNY,GONZALES,JGONZA1,17,1
222,STEVEN,REYNOLDS,SREYNO1,14,3
223,KIMBERLY,BENNETT,KBENNE1,30,1
224,RAY,JOHNSON,RJOHNS1,23,3
225,BETH,JONES,BJONES1,19,1
226,ROBERT,BERG,RBERG1,30,1
227,ANN,MASON,AMASON1,28,1
228,DAISY,GEORGE,DGEORG1,30,1
229,ARTHUR,TRAVIS,ATRAVI1,29,1
230,BETH,CRAWFORD,BCRAWF1,11,1
231,MARY,MAXWELL,MMAXWE1,13,3
232,DENISE,WALKER,DWALKE1,28,3
233,JOSHUA,JOHNSON,JJOHNS1,17,3
234,DOROTHY,CAMERON,DCAMER1,30,1
235,STEPHEN,WHITE,SWHITE1,30,1
236,WILLIAM,SHAFFER,WSHAFF1,23,1
237,MICHAEL,TURNER,MTURNE1,27,1
238,JOHN,WILSON,JWILSO1,20,1
239,KENNETH,NICHOLSON,KNICHO1,25,1
240,SARA,POOLE,SPOOLE1,26,1
